"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime","Red","Green","Blue"
636301.150,849612.890,409.120,186.000,1.000,1.000,1.000,0.000,1.000,2.000,124.000,7327.000,246096.724,102.000,85.000,97.000
636215.940,849009.740,428.120,67.000,1.000,1.000,0.000,0.000,1.000,-10.000,126.000,7327.000,246096.868,113.000,97.000,123.000
636237.760,849007.940,428.150,93.000,1.000,1.000,1.000,0.000,1.000,-10.000,121.000,7327.000,246097.027,104.000,93.000,120.000
636340.220,849452.260,409.060,95.000,1.000,1.000,1.000,0.000,1.000,-1.000,122.000,7327.000,246097.183,99.000,95.000,102.000
636460.370,849995.960,426.050,0.000,3.000,3.000,0.000,0.000,2.000,9.000,128.000,7327.000,246097.323,80.000,80.000,96.000
636406.820,849567.680,410.270,142.000,1.000,1.000,1.000,0.000,1.000,0.000,122.000,7327.000,246097.470,102.000,92.000,102.000
636524.540,850058.100,445.960,17.000,3.000,3.000,1.000,0.000,1.000,10.000,124.000,7327.000,246097.607,62.000,72.000,80.000
636541.440,849979.530,426.610,108.000,1.000,1.000,0.000,0.000,1.000,8.000,124.000,7327.000,246097.745,84.000,89.000,105.000
636550.790,849844.880,414.930,2.000,2.000,2.000,1.000,0.000,2.000,5.000,124.000,7327.000,246097.893,57.000,66.000,73.000
636597.800,849903.250,487.830,98.000,1.000,1.000,1.000,0.000,1.000,7.000,124.000,7327.000,246098.047,76.000,86.000,88.000
636450.850,849038.620,428.610,183.000,1.000,1.000,1.000,0.000,1.000,-10.000,124.000,7327.000,246098.196,120.000,100.000,128.000
636642.450,849803.540,417.550,159.000,1.000,1.000,0.000,0.000,1.000,6.000,126.000,7327.000,246098.340,44.000,68.000,61.000
636726.480,850063.450,447.210,137.000,1.000,1.000,1.000,0.000,2.000,12.000,124.000,7327.000,246098.489,92.000,93.000,118.000
636645.410,849592.220,411.190,139.000,1.000,1.000,1.000,0.000,2.000,1.000,120.000,7327.000,246098.639,73.000,84.000,90.000
636769.550,850056.500,447.010,136.000,1.000,1.000,0.000,0.000,1.000,10.000,124.000,7327.000,246098.779,56.000,75.000,74.000
636739.040,849827.560,500.260,1.000,1.000,2.000,1.000,0.000,1.000,5.000,122.000,7327.000,246098.909,84.000,94.000,99.000
636579.230,849032.090,428.150,98.000,1.000,1.000,1.000,0.000,1.000,-11.000,124.000,7327.000,246099.039,227.000,209.000,223.000
636606.760,849053.940,425.890,153.000,1.000,1.000,1.000,0.000,2.000,-10.000,126.000,7327.000,246099.173,143.000,106.000,134.000
636671.880,849235.930,411.980,11.000,1.000,1.000,1.000,0.000,1.000,-6.000,124.000,7327.000,246099.308,82.000,80.000,91.000
636702.850,849270.600,411.150,37.000,1.000,1.000,1.000,0.000,2.000,-5.000,124.000,7327.000,246099.442,70.000,82.000,84.000
636896.460,850023.750,455.410,6.000,1.000,2.000,1.000,0.000,1.000,11.000,124.000,7327.000,246099.580,66.000,77.000,80.000
636873.490,849838.750,531.200,10.000,1.000,2.000,1.000,0.000,1.000,7.000,124.000,7327.000,246099.713,60.000,75.000,77.000
636698.590,848971.750,425.620,96.000,1.000,1.000,0.000,0.000,2.000,-10.000,124.000,7327.000,246099.838,207.000,177.000,196.000
636951.840,850013.550,495.440,8.000,1.000,1.000,0.000,0.000,1.000,11.000,124.000,7327.000,246099.967,80.000,88.000,100.000
636756.920,849035.470,426.480,171.000,1.000,1.000,1.000,0.000,1.000,-9.000,126.000,7327.000,246100.093,156.000,121.000,150.000
636782.320,849043.180,426.410,157.000,1.000,1.000,1.000,0.000,2.000,-8.000,124.000,7327.000,246100.227,140.000,104.000,132.000
636785.140,848949.970,424.250,35.000,1.000,1.000,1.000,0.000,1.000,-10.000,126.000,7327.000,246100.360,160.000,125.000,148.000
636986.840,849803.220,423.360,27.000,2.000,2.000,1.000,0.000,1.000,8.000,124.000,7327.000,246100.479,48.000,66.000,64.000
637029.630,849908.170,451.380,11.000,1.000,2.000,0.000,0.000,1.000,10.000,126.000,7327.000,246100.600,84.000,86.000,98.000
637049.080,849878.480,480.050,5.000,1.000,2.000,1.000,0.000,1.000,9.000,124.000,7327.000,246100.729,95.000,95.000,116.000
637099.410,849984.610,422.600,125.000,2.000,2.000,0.000,0.000,1.000,10.000,128.000,7327.000,246100.848,105.000,105.000,125.000
637133.730,849995.210,422.380,6.000,1.000,1.000,1.000,0.000,1.000,9.000,128.000,7327.000,246100.979,52.000,66.000,68.000
636965.580,849045.010,428.510,154.000,1.000,1.000,1.000,0.000,2.000,-11.000,124.000,7327.000,246101.108,102.000,102.000,126.000
637155.810,849778.640,425.660,83.000,1.000,1.000,1.000,0.000,2.000,3.000,126.000,7327.000,246101.246,58.000,71.000,74.000
637183.990,849717.030,425.950,158.000,1.000,1.000,1.000,0.000,1.000,2.000,128.000,7327.000,246101.437,97.000,96.000,117.000
637088.550,848953.740,430.410,151.000,1.000,1.000,0.000,0.000,1.000,-12.000,128.000,7327.000,246101.811,140.000,112.000,142.000
637202.560,850169.090,427.430,27.000,3.000,3.000,0.000,0.000,2.000,-3.000,132.000,7328.000,246500.813,79.000,83.000,90.000
637176.020,850114.140,482.280,57.000,1.000,2.000,1.000,0.000,1.000,-2.000,126.000,7328.000,246501.148,70.000,82.000,88.000
637135.660,850143.140,421.560,3.000,1.000,1.000,1.000,0.000,2.000,-1.000,124.000,7328.000,246501.397,54.000,64.000,66.000
637059.150,850454.170,426.180,56.000,1.000,1.000,1.000,0.000,1.000,-6.000,124.000,7328.000,246501.606,119.000,99.000,133.000
637053.280,850334.840,427.330,81.000,2.000,2.000,0.000,0.000,1.000,-3.000,130.000,7328.000,246501.753,106.000,101.000,124.000
637122.240,849678.180,425.590,82.000,2.000,2.000,0.000,0.000,1.000,9.000,134.000,7328.000,246501.884,80.000,82.000,96.000
637000.890,850346.490,465.160,10.000,2.000,3.000,0.000,0.000,1.000,-4.000,135.000,7328.000,246502.002,59.000,69.000,72.000
637078.350,849621.650,466.040,1.000,2.000,3.000,1.000,0.000,1.000,10.000,128.000,7328.000,246502.127,52.000,71.000,67.000
636936.250,850369.290,441.140,146.000,1.000,1.000,1.000,0.000,2.000,-6.000,126.000,7328.000,246502.277,78.000,88.000,96.000
636942.450,850104.630,498.620,5.000,1.000,2.000,0.000,0.000,1.000,-1.000,134.000,7328.000,246502.422,102.000,101.000,124.000
636865.320,850374.570,441.570,142.000,1.000,1.000,1.000,0.000,2.000,-8.000,126.000,7328.000,246502.583,127.000,99.000,134.000
636946.390,849676.210,456.200,5.000,2.000,3.000,0.000,0.000,1.000,6.000,135.000,7328.000,246502.746,53.000,70.000,66.000
636906.760,849719.590,551.310,105.000,1.000,2.000,0.000,0.000,1.000,6.000,132.000,7328.000,246502.919,69.000,84.000,83.000
636904.460,849568.080,411.090,7.000,1.000,1.000,0.000,0.000,2.000,9.000,130.000,7328.000,246503.090,74.000,88.000,94.000
636842.650,849771.720,419.460,188.000,1.000,1.000,0.000,0.000,1.000,6.000,132.000,7328.000,246503.264,54.000,66.000,69.000
